State,Total_Population,Health_care_personnel,Long-term_care_facillity_residents,Persons_aged_75_over,Persons_aged_65_thru_74,Total_of_boxes_above,Estimated_overlap,Total_people_to_vaccinate,postal_code,fips_code
Alabama,4903185,251522,28137,328200,476681,1084540,31064,1053476,AL,1
Alaska,731545,35155,4325,26296,56287,122063,3037,119026,AK,2
Arizona,7278717,386848,45923,506228,700520,1639519,46298,1593221,AZ,4
Arkansas,3017804,148083,22472,208405,290373,669333,20852,648481,AR,5
California,39512223,1869186,256132,2313770,3172271,7611359,239421,7371938,CA,6
Colorado,5758736,268576,39718,295361,478345,1082000,31574,1050426,CO,8
Connecticut,3565287,228370,17095,264631,336422,846518,20468,826050,CT,9
Delaware,973764,56515,5765,69988,104186,236454,6616,229838,DE,10
District of Columbia,705749,62922,1717,35516,48154,148309,2290,146019,DC,11
Florida,21477737,1132028,168557,1884034,2321394,5506013,170507,5335506,FL,12
Georgia,10617423,506945,37540,539190,867295,1950970,44613,1906357,GA,13
Hawaii,1415872,70127,5456,109685,143921,329189,7135,322054,HI,15
Idaho,1787065,85457,11696,104692,160197,362042,10558,351484,ID,16
Illinois,12671821,697769,75152,829169,1113365,2715455,79213,2636242,IL,17
Indiana,6732219,380467,36288,426373,597215,1440343,38847,1401496,IN,18
Iowa,3155070,162836,39824,235381,290141,728182,24099,704083,IA,19
Kansas,2913314,140235,20915,195002,254325,610477,19085,591392,KS,20
Kentucky,4467673,221406,19130,285734,424404,950674,22364,928310,KY,21
Louisiana,4648794,273028,21397,281297,416721,992443,23704,968739,LA,22
Maine,1344212,85330,7600,109287,158281,360498,9083,351415,ME,23
Maryland,6045680,383247,43802,372241,530437,1329727,39163,1290564,MD,24
Massachusetts,6892503,544463,35146,473892,633197,1686698,40538,1646160,MA,25
Michigan,9986857,547790,29513,690926,975417,2243646,40646,2203000,MI,26
Minnesota,5639632,355280,19844,367959,490739,1233822,24980,1208842,MN,27
Mississippi,2976149,127951,12795,187349,273673,601768,14838,586930,MS,28
Missouri,6137428,365791,56746,428999,577726,1429262,43063,1386199,MO,29
Montana,1068778,53071,8984,76082,114629,252766,7358,245408,MT,30
Nebraska,1934408,110749,20939,128530,165539,425757,13008,412749,NE,31
Nevada,3080156,129601,4355,173547,283634,591137,8177,582960,NV,32
New Hampshire,1359711,80647,6776,94339,141456,323218,8110,315108,NH,33
New Jersey,8882190,542460,52598,616375,793910,2005343,57242,1948101,NJ,34
New Mexico,2096829,107719,4403,142563,210124,464809,7039,457770,NM,35
New York,19453561,1448021,126989,1375885,1770421,4721316,126052,4595264,NY,36
North Carolina,10488084,515233,67884,651219,976794,2211130,66910,2144220,NC,37
North Dakota,762062,46658,4900,51644,61239,164441,4523,159918,ND,38
Ohio,11689100,761047,109297,824655,1116639,2811638,86380,2725258,OH,39
Oklahoma,3956971,201080,24239,252813,350581,828713,23593,805120,OK,40
Oregon,4217737,207590,23822,278828,430727,940967,26907,914060,OR,41
Pennsylvania,12801989,873957,58994,1005030,1276690,3214671,72197,3142474,PA,42
Rhode Island,1059361,74191,6564,77862,100027,258644,7309,251335,RI,44
South Carolina,5148714,245595,14428,332623,530935,1123581,20540,1103041,SC,45
South Dakota,884659,55789,9092,60877,80657,206415,5999,200416,SD,46
Tennessee,6829174,385749,44162,431710,643414,1505035,42858,1462177,TN,47
Texas,28995881,1492827,138818,1380678,2081849,5094172,137261,4956911,TX,48
Utah,3205958,147448,15652,133948,200001,497049,13920,483129,UT,49
Vermont,623989,32917,2885,46435,70829,153066,3627,149439,VT,50
Virginia,8535519,411056,55616,515234,756712,1738618,48696,1689922,VA,51
Washington,7614893,375352,26749,437749,679924,1519774,33647,1486127,WA,53
West Virginia,1792147,105545,8670,143856,208258,466329,10620,455709,WV,54
Wisconsin,5822434,328530,49704,403421,550150,1331805,41669,1290136,WI,55
Wyoming,578759,23386,3743,36022,55440,118591,3624,114967,WY,56
